Ano,Maximo,Minimo,Media,Desvio_Padrao,Retorno_acumulado,Variacao,positivo
1987,20.95,15.03,18.5258125,0.9771904740040587,159.1052066559313,-0.0376298713851535,-1
1988,17.95,11.2,14.90541176470588,1.4684596511668753,211.7481894150418,-0.028520024892572993,-1
1989,22.25,16.05,18.228228346456692,1.221590524726839,282.3152439024391,0.2858991395125463,1
1990,41.45,14.68,23.76144531249999,7.742344065486246,286.9306603773585,0.4474225029212183,1
1991,30.28,17.6,20.041128404669248,1.9455431567698744,192.32897684839432,-0.2555270052920835,-1
1992,21.55,17.05,19.319727626459148,1.1351168045174296,269.11490514905154,-0.011037777805387172,-1
1993,19.6,13.13,17.013412698412715,1.5297410986835172,241.81500282007897,-0.2725607889571342,-1
1994,19.03,13.0,15.856388888888894,1.3752209730283083,297.5286671630678,0.2300678511089136,1
1995,19.38,15.35,17.01584980237154,0.9250970397243239,271.0963476070529,0.18171869085949377,1
1996,25.4,16.23,20.6398031496063,2.2698183749295686,276.64960422163585,0.2929365786529201,1
1997,24.83,15.86,19.108508064516133,1.7775509103260865,193.8204498977505,-0.3935807687363623,-1
1998,16.28,9.1,12.758102766798409,1.577091065060073,204.67977171845274,-0.28454944275357785,-1
1999,26.46,9.77,17.901566265060247,5.033201575681031,407.44881170018283,0.8990081317996087,1
2000,37.43,21.05,28.660671936758895,3.4001378273714193,302.76200417536535,0.03753740938983319,1
2001,30.68,16.51,24.455719844357976,3.4134130485419165,268.2509603072983,-0.07774515331729015,-1
2002,32.02,18.17,25.244131736526942,2.7313170426367908,418.8544461003478,0.5557735469782368,1
2003,34.94,23.23,28.853508287292836,2.4882262616759774,344.4910949868074,0.11848955611375411,1
2004,52.28,29.02,38.16200000000002,5.683720689752521,477.51559821734656,0.4694558714667765,1
2005,67.26,38.93,54.32587912087908,6.338900717822992,491.4169980119284,0.45431991623527646,1
2006,78.26,55.82,65.11695054945059,5.876422028266623,416.49218063609214,0.17418056572551155,1
2007,95.66,49.95,72.03027855153205,11.720181511853628,435.2612354822421,0.5641544662478246,1
2008,143.95,33.73,97.5317906336088,28.201816893004292,369.09966638865717,-0.709514369476804,-1
2009,78.68,34.16,61.31418732782375,12.529053201681172,651.5529859484777,1.0747774287179093,1
2010,93.63,67.18,79.4472252747253,5.638138747240401,377.5791878835357,0.28768419084085317,1
2011,126.64,92.5,111.28555248618794,7.320741364509908,430.7674294268606,0.23421075708115002,1
2012,128.14,88.69,111.70688022284118,8.076221374647757,372.91026594755436,0.08918373188202,1
2013,118.9,96.84,108.57369747899163,4.674234335944773,352.21090413448434,0.052013127008909144,1
2014,115.19,55.27,99.41063711911355,14.33352449033991,332.4739670187141,-0.6285767462956283,-1
2015,66.33,35.26,52.54301369863015,7.81235888398821,346.9911344309752,-0.23945221563485752,-1
2016,54.95,26.01,43.506229508196746,6.708857158606001,429.4304207119741,0.5680489765512698,1
2017,66.8,43.98,54.163691460055105,5.3381956450020756,357.8056414922657,0.24597184953326356,1
2018,86.07,50.57,71.28987261146501,6.863962983812284,335.859264816204,-0.23197439945012577,-1
2019,74.94,53.23,64.13678030303032,4.380269260634122,313.2095819459859,0.27971843636450844,1
2020,70.25,9.12,41.71081712062255,12.015907055923034,159.87591349739003,0.3865993205825615,1
2021,85.76,50.37,70.85267716535432,8.031027031208293,357.28767123287673,0.48511863976952363,1
2022,133.18,76.02,100.8818750000001,13.433276022842769,330.041661341853,0.16758126992722422,1
2023,97.1,71.03,82.35553784860561,6.085643894409347,249.59236899299688,-0.00713680977022646,-1
2024,81.7,75.47,78.784,1.9524738886126711,15.500524658971667,0.07202291459280519,1
